"country","year","age","value"
"denmark",1969,29,111.221773333333
"denmark",1969,30,99.131019047619
"denmark",1969,31,87.0402647619048
"denmark",1969,32,74.9495104761905
"denmark",1969,33,65.1388190476191
"denmark",1969,34,57.6081904761905
"denmark",1969,35,50.0775619047619
"denmark",1969,36,42.5469333333333
"denmark",1969,37,35.0163047619048
"denmark",1969,38,27.4856761904762
"denmark",1969,39,22.692608
"denmark",1969,40,19.26832
"denmark",1969,41,15.844032
"denmark",1969,42,12.419744
"denmark",1969,43,8.995456
"denmark",1969,44,5.571168
"denmark",1969,45,4.32868476190476
"denmark",1969,46,3.52256247619048
"denmark",1969,47,2.71644019047619
"denmark",1969,48,1.9103179047619
"denmark",1969,49,1.10419561904762
"denmark",1969,50,0.298073333333333
"denmark",1970,15,29.773
"denmark",1970,16,48.2804628571429
"denmark",1970,17,66.7879257142857
"denmark",1970,18,85.2953885714286
"denmark",1970,19,103.802851428571
"denmark",1970,20,122.310314285714
"denmark",1970,21,137.753499047619
"denmark",1970,22,137.875293333333
"denmark",1970,23,137.997087619048
"denmark",1970,24,138.118881904762
"denmark",1970,25,138.240676190476
"denmark",1970,26,138.36247047619
"denmark",1970,27,134.364695238095
"denmark",1970,28,122.127780952381
"denmark",1970,29,109.890866666667
"denmark",1970,30,97.6539523809524
"denmark",1970,31,85.4170380952381
"denmark",1970,32,73.1801238095238
"denmark",1970,33,63.3079523809524
"denmark",1970,34,55.8005238095238
"denmark",1970,35,48.2930952380952
"denmark",1970,36,40.7856666666667
"denmark",1970,37,33.2782380952381
"denmark",1970,38,25.7708095238095
"denmark",1970,39,21.1202114285714
"denmark",1970,40,17.8980285714286
"denmark",1970,41,14.6758457142857
"denmark",1970,42,11.4536628571428
"denmark",1970,43,8.23148
"denmark",1970,44,5.00929714285714
"denmark",1970,45,3.86935238095238
"denmark",1970,46,3.14585523809524
"denmark",1970,47,2.42235809523809
"denmark",1970,48,1.69886095238095
"denmark",1970,49,0.97536380952381
"denmark",1970,50,0.251866666666667
"denmark",1971,15,27.19666
"denmark",1971,16,45.5099422857143
"denmark",1971,17,63.8232245714286
"denmark",1971,18,82.1365068571429
"denmark",1971,19,100.449789142857
"denmark",1971,20,118.763071428571
"denmark",1971,21,134.1073
"denmark",1971,22,134.60626
"denmark",1971,23,135.10522
"denmark",1971,24,135.60418
"denmark",1971,25,136.10314
"denmark",1971,26,136.6021
"denmark",1971,27,132.837014285714
"denmark",1971,28,120.543837142857
"denmark",1971,29,108.25066
"denmark",1971,30,95.9574828571428
"denmark",1971,31,83.6643057142857
"denmark",1971,32,71.3711285714286
"denmark",1971,33,61.500112
"denmark",1971,34,54.051256
"denmark",1971,35,46.6024
"denmark",1971,36,39.153544
"denmark",1971,37,31.704688
"denmark",1971,38,24.255832
"denmark",1971,39,19.7447314285714
"denmark",1971,40,16.7025085714286
"denmark",1971,41,13.6602857142857
"denmark",1971,42,10.6180628571429
"denmark",1971,43,7.57584
"denmark",1971,44,4.53361714285714
"denmark",1971,45,3.48176285714286
"denmark",1971,46,2.82798228571429
"denmark",1971,47,2.17420171428571
"denmark",1971,48,1.52042114285714
"denmark",1971,49,0.866640571428573
"denmark",1971,50,0.21286
"denmark",1972,15,25.9324533333333
"denmark",1972,16,43.8018864761905
"denmark",1972,17,61.6713196190476
"denmark",1972,18,79.5407527619048
"denmark",1972,19,97.4101859047619
"denmark",1972,20,115.279619047619
"denmark",1972,21,130.288
"denmark",1972,22,130.99112
"denmark",1972,23,131.69424
"denmark",1972,24,132.39736
"denmark",1972,25,133.10048
"denmark",1972,26,133.8036
"denmark",1972,27,130.222457142857
"denmark",1972,28,118.072788571429
"denmark",1972,29,105.92312
"denmark",1972,30,93.7734514285714
"denmark",1972,31,81.6237828571429
"denmark",1972,32,69.4741142857143
"denmark",1972,33,59.7434411428572
"denmark",1972,34,52.4317634285714
"denmark",1972,35,45.1200857142857
"denmark",1972,36,37.808408
"denmark",1972,37,30.4967302857143
"denmark",1972,38,23.1850525714286
"denmark",1972,39,18.8068438095238
"denmark",1972,40,15.8953695238095
"denmark",1972,41,12.9838952380952
"denmark",1972,42,10.0724209523809
"denmark",1972,43,7.16094666666667
"denmark",1972,44,4.24947238095238
"denmark",1972,45,3.2536019047619
"denmark",1972,46,2.64085219047619
"denmark",1972,47,2.02810247619048
"denmark",1972,48,1.41535276190476
"denmark",1972,49,0.802603047619049
"denmark",1972,50,0.189853333333333
"denmark",1973,15,24.6682466666667
"denmark",1973,16,42.0938306666667
"denmark",1973,17,59.5194146666667
"denmark",1973,18,76.9449986666667
"denmark",1973,19,94.3705826666667
"denmark",1973,20,111.796166666667
"denmark",1973,21,126.4687
"denmark",1973,22,127.37598
"denmark",1973,23,128.28326
"denmark",1973,24,129.19054
"denmark",1973,25,130.09782
"denmark",1973,26,131.0051
"denmark",1973,27,127.6079
"denmark",1973,28,115.60174
"denmark",1973,29,103.59558
"denmark",1973,30,91.58942
"denmark",1973,31,79.58326
"denmark",1973,32,67.5771
"denmark",1973,33,57.9867702857143
"denmark",1973,34,50.8122708571429
"denmark",1973,35,43.6377714285714
"denmark",1973,36,36.463272
"denmark",1973,37,29.2887725714286
"denmark",1973,38,22.1142731428571
"denmark",1973,39,17.8689561904762
"denmark",1973,40,15.0882304761905
"denmark",1973,41,12.3075047619048
"denmark",1973,42,9.52677904761904
"denmark",1973,43,6.74605333333334
"denmark",1973,44,3.96532761904762
"denmark",1973,45,3.02544095238095
"denmark",1973,46,2.4537220952381
"denmark",1973,47,1.88200323809524
"denmark",1973,48,1.31028438095238
"denmark",1973,49,0.738565523809525
"denmark",1973,50,0.166846666666667
"denmark",1974,15,23.40404
"denmark",1974,16,40.3857748571429
"denmark",1974,17,57.3675097142857
"denmark",1974,18,74.3492445714286
"denmark",1974,19,91.3309794285714
"denmark",1974,20,108.312714285714
"denmark",1974,21,122.6494
"denmark",1974,22,123.76084
"denmark",1974,23,124.87228
"denmark",1974,24,125.98372
"denmark",1974,25,127.09516
"denmark",1974,26,128.2066
"denmark",1974,27,124.993342857143
"denmark",1974,28,113.130691428571
"denmark",1974,29,101.26804
"denmark",1974,30,89.4053885714286
