"country","year","age","ax","mx","qx","px","dx","lx","Lx","Tx","ex"
"denmark",1961,50,0.5,0.00420427510126221,0.00419545567634296,0.995804544323657,3908,931357,929403,25740176.6787933,27.6372826733393
"denmark",1961,51,0.5,0.00453887659275366,0.00452859921626333,0.995471400783737,4200,927449,925349,24810773.6787933,26.751631279772
"denmark",1961,52,0.5,0.00487347808424512,0.00486163155682219,0.995138368443178,4488,923249,921005,23885424.6787933,25.8710539397208
"denmark",1961,53,0.5,0.00543304001708978,0.00541832103957306,0.994581678960427,4978,918761,916272,22964419.6787933,24.9949874655033
"denmark",1961,54,0.5,0.00599260194993445,0.00597469995064719,0.994025300049353,5460,913783,911053,22048147.6787933,24.1284283892273
"denmark",1961,55,0.5,0.00655216388277911,0.00653076854986949,0.993469231450131,5932,908323,905357,21137094.6787933,23.27046070483
"denmark",1961,56,0.5,0.00711172581562378,0.00708652709677516,0.992913472903225,6395,902391,899193.5,20231737.6787933,22.4201456783072
"denmark",1961,57,0.5,0.00767128774846845,0.00764197585061001,0.99235802414939,6847,895996,892572.5,19332544.1787933,21.5765965236377
"denmark",1961,58,0.5,0.00861153291796765,0.00857461263847014,0.99142538736153,7624,889149,885337,18439971.6787933,20.7388994182002
"denmark",1961,59,0.5,0.00955177808746685,0.00950637668720084,0.990493623312799,8380,881525,877335,17554634.6787933,19.9139385483035
"denmark",1961,60,0.5,0.0104920232569661,0.0104372692212617,0.989562730778738,9113,873145,868588.5,16677299.6787933,19.1002636203532
"denmark",1961,61,0.5,0.0114322684264653,0.0113672914628228,0.988632708537177,9822,864032,859121,15808711.1787933,18.296441773908
"denmark",1961,62,0.5,0.0123725135959645,0.0122964446317702,0.98770355536823,10504,854210,848958,14949590.1787933,17.5010713744785
"denmark",1961,63,0.5,0.0141854770536538,0.0140855717760455,0.985914428223955,11884,843706,837764,14100632.1787933,16.7127318980703
"denmark",1961,64,0.5,0.0159984405113431,0.0158714810387306,0.984128518961269,13202,831822,825221,13262868.1787933,15.9443585031332
"denmark",1961,65,0.5,0.0178114039690325,0.0176541810934337,0.982345818906566,14452,818620,811394,12437647.1787933,15.1934318472469
"denmark",1961,66,0.5,0.0196243674267218,0.0194336805826184,0.980566319417382,15628,804168,796354,11626253.1787933,14.4574929352987
"denmark",1961,67,0.5,0.0214373308844112,0.0212099881177439,0.978790011882256,16725,788540,780177.5,10829899.1787933,13.7341151733498
"denmark",1961,68,0.5,0.0248216195090026,0.0245173394731152,0.975482660526885,18923,771815,762353.5,10049721.6787933,13.0208944874008
"denmark",1961,69,0.5,0.028205908133594,0.0278136534564676,0.972186346543532,20941,752892,742421.5,9287368.17879326,12.3355915307817
"denmark",1961,70,0.5,0.0315901967581854,0.0310989852270344,0.968901014772966,22762,731951,720570,8544946.67879326,11.6742058946477
"denmark",1961,71,0.5,0.0349744853827768,0.0343733895771161,0.965626610422884,24378,709189,697000,7824376.67879326,11.0328511564523
"denmark",1961,72,0.5,0.0383587740073682,0.0376369209351263,0.962363079064874,25774,684811,671924,7127376.67879326,10.4078010995636
"denmark",1961,73,0.5,0.0444804745265705,0.0435127408461757,0.956487259153824,28676,659037,644699,6455452.67879326,9.79528111288632
"denmark",1961,74,0.5,0.0506021750457729,0.0493534783699753,0.950646521630025,31111,630361,614805.5,5810753.67879326,9.21813639929067
"denmark",1961,75,0.5,0.0567238755649753,0.0551594467676352,0.944840553232365,33054,599250,582723,5195948.17879326,8.67075207141137
"denmark",1961,76,0.5,0.0628455760841777,0.060930955581731,0.939069044418269,34499,566196,548946.5,4613225.17879326,8.14775303745216
"denmark",1961,77,0.5,0.0689672766033801,0.0666683106913161,0.933331689308684,35447,531697,513973.5,4064278.67879326,7.64397519412986
"denmark",1961,78,0.5,0.0790993796608619,0.076090042096751,0.923909957903249,37760,496250,477370,3550305.17879326,7.15426736280759
"denmark",1961,79,0.5,0.0892314827183437,0.0854203887471987,0.914579611252801,39164,458490,438908,3072935.17879326,6.70229487839051
"denmark",1961,80,0.5,0.0993635857758255,0.0946606737861516,0.905339326213848,39694,419326,399479,2634027.17879326,6.28157371303774
"denmark",1961,81,0.5,0.109495688833307,0.103812194936379,0.896187805063621,39410,379632,359927,2234548.17879326,5.88609015781932
"denmark",1961,82,0.5,0.119627791890789,0.1128762251075,0.8871237748925,38403,340222,321020.5,1874621.17879326,5.50999400036818
"denmark",1961,83,0.5,0.134161587682315,0.125727675408134,0.874272324591866,37947,301819,282845.5,1553600.67879326,5.14745817457902
"denmark",1961,84,0.5,0.148695383473841,0.138405271047254,0.861594728952746,36522,263872,245611,1270755.17879326,4.81580152040862
"denmark",1961,85,0.5,0.163229179265366,0.150912516186379,0.849087483813621,34310,227350,210195,1025144.17879326,4.509101292251
"denmark",1961,86,0.5,0.177762975056892,0.163252821443755,0.836747178556245,31514,193040,177283,814949.178793265,4.22165964977862
"denmark",1961,87,0.5,0.192296770848418,0.175429506995076,0.824570493004924,28336,161526,147358,637666.178793265,3.94776183891921
"denmark",1961,88,0.5,0.21380735571886,0.193158049788332,0.806841950211668,25727,133190,120326.5,490308.178793265,3.68126870480715
"denmark",1961,89,0.5,0.235317940589302,0.210545387138319,0.789454612861681,22626,107463,96150,369981.678793265,3.44287502482961
"denmark",1961,90,0.5,0.256828525459744,0.227601275473443,0.772398724526557,19309,84837,75182.5,273831.678793265,3.2277388261403
